Timestamp,Azimuth(deg),Elevation(deg)
2025/09/24 00:00:00.433,32.939,8.984
2025/09/24 00:00:01.686,36.007,8.984
2025/09/24 00:00:02.896,39.009,8.984
2025/09/24 00:00:04.103,42.022,8.984
2025/09/24 00:00:05.300,45.002,8.984
2025/09/24 00:00:06.489,48.004,8.984
2025/09/24 00:00:07.675,51.011,8.984
2025/09/24 00:00:08.880,54.01,8.984
2025/09/24 00:00:09.931,57.004,8.984
2025/09/24 00:00:11.082,60.023,8.984
2025/09/24 00:00:12.287,62.995,8.984
2025/09/24 00:00:13.466,66.005,8.984
2025/09/24 00:00:14.682,69.001,8.984
2025/09/24 00:00:15.858,71.992,8.984
2025/09/24 00:00:16.891,75.019,8.984
2025/09/24 00:00:18.052,78.016,8.984
2025/09/24 00:00:19.294,81.02,8.984
2025/09/24 00:00:20.448,83.995,8.984
2025/09/24 00:00:21.646,87.011,8.984
2025/09/24 00:00:22.864,90.002,8.984
2025/09/24 00:00:24.041,93.009,8.984
2025/09/24 00:00:25.259,96.006,8.984
2025/09/24 00:00:26.470,99.016,8.984
2025/09/24 00:00:27.633,102.007,8.984
2025/09/24 00:00:28.839,105.009,8.984
2025/09/24 00:00:29.905,108.003,8.984
2025/09/24 00:00:31.041,110.997,8.984
2025/09/24 00:00:32.224,114.018,8.984
2025/09/24 00:00:33.447,117.017,8.984
2025/09/24 00:00:34.633,120.005,8.984
2025/09/24 00:00:35.815,123.013,8.984
2025/09/24 00:00:36.864,126.012,8.984
2025/09/24 00:00:38.012,129.022,8.984
2025/09/24 00:00:39.223,132.002,8.984
2025/09/24 00:00:40.429,134.999,8.984
2025/09/24 00:00:41.627,138.012,8.984
2025/09/24 00:00:42.814,141.0,8.984
2025/09/24 00:00:43.865,144.005,8.984
2025/09/24 00:00:44.997,147.018,8.984
2025/09/24 00:00:46.196,150.001,8.984
2025/09/24 00:00:47.414,153.019,8.984
2025/09/24 00:00:48.614,155.997,8.984
2025/09/24 00:00:49.787,158.999,8.984
2025/09/24 00:00:50.835,162.003,8.984
2025/09/24 00:00:51.996,165.022,8.984
2025/09/24 00:00:53.180,168.002,8.984
2025/09/24 00:00:54.379,171.009,8.984
2025/09/24 00:00:55.619,173.995,8.984
2025/09/24 00:00:56.773,177.019,8.984
2025/09/24 00:00:57.815,180.01,8.984
2025/09/24 00:01:01.977,30.011,9.978
2025/09/24 00:01:03.420,32.947,9.978
2025/09/24 00:01:04.723,36.007,9.978
2025/09/24 00:01:05.806,39.009,9.978
2025/09/24 00:01:06.953,42.011,9.978
2025/09/24 00:01:08.152,45.007,9.978
2025/09/24 00:01:09.372,48.006,9.978
2025/09/24 00:01:10.548,51.003,9.978
2025/09/24 00:01:11.766,54.008,9.978
2025/09/24 00:01:12.956,57.004,9.978
2025/09/24 00:01:14.139,60.02,9.978
2025/09/24 00:01:15.337,62.989,9.978
2025/09/24 00:01:16.556,66.008,9.978
2025/09/24 00:01:17.753,69.007,9.978
2025/09/24 00:01:18.828,72.012,9.978
2025/09/24 00:01:19.950,75.005,9.978
